"Participant.Private.ID","Display","Response","Correct","Spreadsheet..sent","Spreadsheet..sent_1","Spreadsheet..word_1","Spreadsheet..card_1","Spreadsheet..card_2","Spreadsheet..corr_1","Spreadsheet..cons","Spreadsheet..vowel","Spreadsheet..target"
14171928,"Trials_blk1","audio started",0,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
14171928,"Trials_blk1","audio finished",0,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
14171928,"Trials_blk1","audio started",0,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
14171928,"Trials_blk1","audio finished",0,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
14171928,"Trials_blk1","kip",1,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
14171928,"Trials_blk1","",0,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
14171928,"Trials_blk1","audio started",1,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
14171928,"Trials_blk1","audio finished",1,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
14171928,"Trials_blk1","",1,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
14171928,"Trials_blk1","audio started",0,"Pat had a toad that said ___","neb_sent.mp3","neb_word.mp3","geb","neb","neb","n","e",0
14171928,"Trials_blk1","audio finished",0,"Pat had a toad that said ___","neb_sent.mp3","neb_word.mp3","geb","neb","neb","n","e",0
14171928,"Trials_blk1","neb",1,"Pat had a toad that said ___","neb_sent.mp3","neb_word.mp3","geb","neb","neb","n","e",0
14171928,"Trials_blk1","",0,"Pat had a toad that said ___","neb_sent.mp3","neb_word.mp3","geb","neb","neb","n","e",0
14171928,"Trials_blk1","audio started",1,"Pat had a toad that said ___","neb_sent.mp3","neb_word.mp3","geb","neb","neb","n","e",0
14171928,"Trials_blk1","audio finished",1,"Pat had a toad that said ___","neb_sent.mp3","neb_word.mp3","geb","neb","neb","n","e",0
14171928,"Trials_blk1","",1,"Pat had a toad that said ___","neb_sent.mp3","neb_word.mp3","geb","neb","neb","n","e",0
14171928,"Trials_blk1","audio started",0,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
14171928,"Trials_blk1","audio finished",0,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
14171928,"Trials_blk1","audio started",0,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
14171928,"Trials_blk1","audio finished",0,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
14171928,"Trials_blk1","pip",1,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
14171928,"Trials_blk1","",0,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
14171928,"Trials_blk1","audio started",1,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
14171928,"Trials_blk1","audio finished",1,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
14171928,"Trials_blk1","",1,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
14171928,"Trials_blk1","audio started",0,"Pat had a toad that said ___","geb_sent.mp3","geb_word.mp3","geb","neb","geb","g","e",0
14171928,"Trials_blk1","audio finished",0,"Pat had a toad that said ___","geb_sent.mp3","geb_word.mp3","geb","neb","geb","g","e",0
14171928,"Trials_blk1","geb",1,"Pat had a toad that said ___","geb_sent.mp3","geb_word.mp3","geb","neb","geb","g","e",0
14171928,"Trials_blk1","",0,"Pat had a toad that said ___","geb_sent.mp3","geb_word.mp3","geb","neb","geb","g","e",0
14171928,"Trials_blk1","audio started",1,"Pat had a toad that said ___","geb_sent.mp3","geb_word.mp3","geb","neb","geb","g","e",0
14171928,"Trials_blk1","audio finished",1,"Pat had a toad that said ___","geb_sent.mp3","geb_word.mp3","geb","neb","geb","g","e",0
14171928,"Trials_blk1","",1,"Pat had a toad that said ___","geb_sent.mp3","geb_word.mp3","geb","neb","geb","g","e",0
14171928,"Attention","B",1,"","","","","","","","",NA
