sub,init,list,word,ons_poa,coda_vc,coda_poa,vowel,vot,vdur
2,DE,2,tap,2,0,1,ae,0.076,0.144
2,DE,2,cad,3,1,2,ae,0.1,0.184
2,DE,2,cob,3,1,1,aw,0.082,0.156
3,CN,2,pack,1,0,3,ae,0.065,0.184
3,CN,2,pup,1,0,1,uh,0.064,0.096
3,CN,2,cat,3,0,2,ae,0.112,0.175
3,CN,2,tup,2,0,1,uh,0.065,0.112
3,CN,2,cog,3,1,3,aw,0.111,0.202
3,CN,2,puck,1,0,3,uh,0.078,0.111
3,CN,2,pig,1,1,3,ih,0.121,0.139
3,CN,2,kick,3,0,3,ih,0.078,0.081
3,CN,2,tug,2,1,3,uh,0.107,0.144
3,CN,2,cub,3,1,1,uh,0.121,0.142
3,CN,2,tub,2,1,1,uh,0.112,0.14
3,CN,2,keg,3,1,3,eh,0.134,0.128
3,CN,2,tib,2,1,1,ih,0.087,0.131
3,CN,2,pat,1,0,2,ae,0.085,0.17
3,CN,2,top,2,0,1,aw,0.106,0.146
3,CN,2,cud,3,1,2,uh,0.1,0.154
3,CN,2,pap,1,0,1,ae,0.118,0.159
3,CN,2,tip,2,0,1,ih,0.085,0.081
3,CN,2,cod,3,1,2,aw,0.112,0.217
3,CN,2,pick,1,0,3,ih,0.057,0.109
3,CN,2,tot,2,0,2,aw,0.092,0.168
3,CN,2,pep,1,0,1,eh,0.065,0.098
3,CN,2,tat,2,0,2,ae,0.123,0.144
3,CN,2,cack,3,0,3,ae,0.086,0.161
3,CN,2,peg,1,1,3,eh,0.112,0.141
3,CN,2,tuck,2,0,3,uh,0.078,0.089
3,CN,2,pop,1,0,1,aw,0.089,0.151
3,CN,2,cup,3,0,1,uh,0.082,0.095
3,CN,2,tech,2,0,3,eh,0.077,0.087
3,CN,2,pad,1,1,2,ae,0.103,0.205
3,CN,2,putt,1,0,2,uh,0.078,0.1
3,CN,2,cut,3,0,2,uh,0.081,0.098
3,CN,2,Todd,2,1,2,aw,0.112,0.195
3,CN,2,cot,3,0,2,aw,0.103,0.17
3,CN,2,talk,2,0,3,aw,0.093,0.146
3,CN,2,Ted,2,1,2,eh,0.1,0.146
3,CN,2,tut,2,0,2,uh,0.069,0.108
3,CN,2,pug,1,1,3,uh,0.128,0.151
3,CN,2,pot,1,0,2,aw,0.111,0.157
3,CN,2,cop,3,0,1,aw,0.12,0.141
3,CN,2,pit,1,0,2,ih,0.09,0.085
3,CN,2,pod,1,1,2,aw,0.1,0.23
3,CN,2,kid,3,1,2,ih,0.118,0.143
3,CN,2,tog,2,1,3,aw,0.114,0.21
3,CN,2,tag,2,1,3,ae,0.09,0.228
3,CN,2,tack,2,0,3,ae,0.084,0.154
3,CN,2,cab,3,1,1,ae,0.133,0.206
3,CN,2,pock,1,0,3,aw,0.1,0.141
3,CN,2,tad,2,1,2,ae,0.128,0.213
