sub,init,list,word,ons_poa,coda_vc,coda_poa,vowel,vot,vdur
6,AF,1,pick,1,0,3,ih,0.047,0.077
6,AF,1,tot,2,0,2,aw,0.045,0.118
6,AF,1,pep,1,0,1,eh,0.059,0.061
6,AF,1,tat,2,0,2,ae,0.077,0.11
6,AF,1,cack,3,0,3,ae,0.067,0.133
6,AF,1,peg,1,1,3,eh,0.062,0.162
6,AF,1,tuck,2,0,3,uh,0.05,0.052
6,AF,1,pop,1,0,1,aw,0.044,0.105
6,AF,1,cup,3,0,1,uh,0.061,0.056
6,AF,1,tech,2,0,3,eh,0.061,0.069
6,AF,1,pad,1,1,2,ae,0.095,0.215
6,AF,1,putt,1,0,2,uh,0.047,0.044
6,AF,1,cut,3,0,2,uh,0.064,0.052
6,AF,1,todd,2,1,2,aw,0.061,0.137
6,AF,1,cot,3,0,2,aw,0.061,0.082
6,AF,1,talk,2,0,3,aw,0.058,0.057
6,AF,1,ted,2,1,2,eh,0.076,0.134
6,AF,1,tut,2,0,2,uh,0.053,0.077
6,AF,1,pug,1,1,3,uh,0.063,0.197
6,AF,1,pot,1,0,2,aw,0.034,0.075
6,AF,1,cop,3,0,1,aw,0.061,0.065
6,AF,1,pit,1,0,2,ih,0.045,0.049
6,AF,1,pod,1,1,2,aw,0.052,0.185
6,AF,1,kid,3,1,2,ih,0.055,0.1
6,AF,1,tog,2,1,3,aw,0.051,0.174
6,AF,1,tag,2,1,3,ae,0.067,0.177
6,AF,1,tack,2,0,3,ae,0.047,0.099
6,AF,1,cab,3,1,1,ae,0.066,0.146
6,AF,1,pock,1,0,3,aw,0.046,0.099
6,AF,1,tad,2,1,2,ae,0.051,0.18
6,AF,1,pub,1,1,1,uh,0.047,0.131
6,AF,1,kit,3,0,2,ih,0.061,0.065
6,AF,1,ped,1,1,2,eh,0.063,0.142
6,AF,1,cap,3,0,1,ae,0.052,0.103
6,AF,1,kip,3,0,1,ih,0.06,0.059
6,AF,1,peck,1,0,3,eh,0.046,0.084
6,AF,1,pet,1,0,2,eh,0.054,0.046
6,AF,1,tab,2,1,1,ae,0.046,0.157
6,AF,1,pog,1,1,3,aw,0.05,0.156
6,AF,1,tap,2,0,1,ae,0.033,0.097
6,AF,1,cad,3,1,2,ae,0.055,0.125
6,AF,1,cob,3,1,1,aw,0.06,0.159
6,AF,2,pack,1,0,3,ae,0.064,0.096
6,AF,2,pup,1,0,1,uh,0.054,0.07
6,AF,2,cat,3,0,2,ae,0.067,0.088
6,AF,2,tup,2,0,1,uh,0.049,0.077
6,AF,2,cog,3,1,3,aw,0.062,0.167
6,AF,2,puck,1,0,3,uh,0.055,0.071
6,AF,2,pig,1,1,3,ih,0.055,0.134
6,AF,2,kick,3,0,3,ih,0.063,0.071
6,AF,2,tug,2,1,3,uh,0.055,0.119
6,AF,2,cub,3,1,1,uh,0.065,0.11
6,AF,2,tub,2,1,1,uh,0.067,0.125
6,AF,2,keg,3,1,3,eh,0.078,0.128
6,AF,2,tib,2,1,1,ih,0.058,0.095
6,AF,2,pat,1,0,2,ae,0.056,0.068
6,AF,2,top,2,0,1,aw,0.085,0.08
6,AF,2,cud,3,1,2,uh,0.066,0.148
6,AF,2,pap,1,0,1,ae,0.054,0.047
6,AF,2,tip,2,0,1,ih,0.063,0.056
6,AF,2,cod,3,1,2,aw,0.094,0.227
6,AF,2,pick,1,0,3,ih,0.045,0.061
6,AF,2,tot,2,0,2,aw,0.083,0.095
6,AF,2,pep,1,0,1,eh,0.047,0.064
6,AF,2,tat,2,0,2,ae,0.103,0.051
6,AF,2,cack,3,0,3,ae,0.063,0.055
6,AF,2,peg,1,1,3,eh,0.066,0.135
6,AF,2,tuck,2,0,3,uh,0.091,0.078
6,AF,2,pop,1,0,1,aw,0.062,0.041
6,AF,2,cup,3,0,1,uh,0.077,0.035
6,AF,2,tech,2,0,3,eh,0.084,0.063
6,AF,2,pad,1,1,2,ae,0.077,0.173
6,AF,2,putt,1,0,2,uh,0.049,0.048
6,AF,2,cut,3,0,2,uh,0.084,0.026
6,AF,2,todd,2,1,2,aw,0.101,0.119
6,AF,2,cot,3,0,2,aw,0.107,0.096
6,AF,2,talk,2,0,3,aw,0.082,0.065
6,AF,2,ted,2,1,2,eh,0.077,0.143
6,AF,2,tut,2,0,2,uh,0.067,0.065
6,AF,2,pug,1,1,3,uh,0.04,0.154
6,AF,2,pot,1,0,2,aw,0.059,0.047
6,AF,2,cop,3,0,1,aw,0.075,0.057
6,AF,2,pit,1,0,2,ih,0.044,0.054
6,AF,2,pod,1,1,2,aw,0.104,0.24
6,AF,2,kid,3,1,2,ih,0.073,0.121
6,AF,2,tog,2,1,3,aw,0.104,0.209
6,AF,2,tag,2,1,3,ae,0.072,0.203
6,AF,2,tack,2,0,3,ae,0.084,0.063
6,AF,2,cab,3,1,1,ae,0.104,0.195
6,AF,2,pock,1,0,3,aw,0.076,0.092
6,AF,2,tad,2,1,2,ae,0.097,0.23
6,AF,2,pub,1,1,1,uh,0.077,0.162
6,AF,2,kit,3,0,2,ih,0.075,0.055
6,AF,2,ped,1,1,2,eh,0.092,0.175
6,AF,2,cap,3,0,1,ae,0.066,0.053
6,AF,2,kip,3,0,1,ih,0.07,0.053
6,AF,2,peck,1,0,3,eh,0.076,0.065
6,AF,2,pet,1,0,2,eh,0.054,0.048
6,AF,2,tab,2,1,1,ae,0.098,0.227
6,AF,2,pog,1,1,3,aw,0.104,0.289
6,AF,2,tap,2,0,1,ae,0.066,0.078
6,AF,2,cad,3,1,2,ae,0.092,0.251
6,AF,2,cob,3,1,1,aw,0.06,0.22
7,RH,1,pack,1,0,3,ae,0.073,0.177
7,RH,1,pup,1,0,1,uh,0.031,0.118
7,RH,1,cat,3,0,2,ae,0.089,0.174
7,RH,1,tup,2,0,1,uh,0.049,0.124
7,RH,1,cog,3,1,3,aw,0.131,0.184
7,RH,1,puck,1,0,3,uh,0.059,0.092
7,RH,1,pig,1,1,3,ih,0.049,0.132
7,RH,1,kick,3,0,3,ih,0.054,0.109
7,RH,1,tug,2,1,3,uh,0.078,0.165
7,RH,1,cub,3,1,1,uh,0.099,0.111
7,RH,1,tub,2,1,1,uh,0.049,0.161
7,RH,1,keg,3,1,3,eh,0.07,0.171
7,RH,1,tib,2,1,1,ih,0.068,0.124
7,RH,1,pat,1,0,2,ae,0.07,0.168
7,RH,1,top,2,0,1,aw,0.056,0.163
7,RH,1,cud,3,1,2,uh,0.085,0.164
7,RH,1,pap,1,0,1,ae,0.071,0.143
7,RH,1,tip,2,0,1,ih,0.062,0.086
7,RH,1,cod,3,1,2,aw,0.114,0.19
7,RH,1,pick,1,0,3,ih,0.031,0.086
7,RH,1,tot,2,0,2,aw,0.107,0.087
7,RH,1,pep,1,0,1,eh,0.057,0.084
7,RH,1,tat,2,0,2,ae,0.065,0.113
7,RH,1,cack,3,0,3,ae,0.056,0.135
7,RH,1,peg,1,1,3,eh,0.107,0.121
7,RH,1,tuck,2,0,3,uh,0.075,0.087
7,RH,1,pop,1,0,1,aw,0.051,0.126
7,RH,1,cup,3,0,1,uh,0.097,0.08
7,RH,1,tech,2,0,3,eh,0.064,0.118
7,RH,1,pad,1,1,2,ae,0.078,0.191
7,RH,1,putt,1,0,2,uh,0.063,0.104
7,RH,1,cut,3,0,2,uh,0.063,0.075
7,RH,1,todd,2,1,2,aw,0.071,0.18
7,RH,1,cot,3,0,2,aw,0.088,0.108
7,RH,1,talk,2,0,3,aw,0.093,0.094
7,RH,1,ted,2,1,2,eh,0.067,0.125
7,RH,1,tut,2,0,2,uh,0.098,0.068
7,RH,1,pug,1,1,3,uh,0.066,0.108
7,RH,1,pot,1,0,2,aw,0.064,0.114
7,RH,1,cop,3,0,1,aw,0.058,0.103
7,RH,1,pit,1,0,2,ih,0.038,0.082
7,RH,1,pod,1,1,2,aw,0.07,0.151
7,RH,1,kid,3,1,2,ih,0.055,0.116
7,RH,1,tog,2,1,3,aw,0.087,0.186
7,RH,1,tag,2,1,3,ae,0.07,0.201
7,RH,1,tack,2,0,3,ae,0.067,0.137
7,RH,1,cab,3,1,1,ae,0.056,0.184
7,RH,1,pock,1,0,3,aw,0.069,0.106
7,RH,1,tad,2,1,2,ae,0.051,0.199
7,RH,1,pub,1,1,1,uh,0.041,0.092
7,RH,1,kit,3,0,2,ih,0.054,0.079
7,RH,1,ped,1,1,2,eh,0.092,0.128
7,RH,1,cap,3,0,1,ae,0.066,0.156
7,RH,1,kip,3,0,1,ih,0.087,0.068
7,RH,1,peck,1,0,3,eh,0.057,0.099
7,RH,1,pet,1,0,2,eh,0.064,0.065
7,RH,1,tab,2,1,1,ae,0.077,0.111
7,RH,1,pog,1,1,3,aw,0.088,0.132
7,RH,1,tap,2,0,1,ae,0.059,0.16
7,RH,1,cad,3,1,2,ae,0.115,0.175
7,RH,1,cob,3,1,1,aw,0.093,0.11
